年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2007,Ｊ２,第１７節第１日,05/23(水),19:04,京都,2-1,愛媛,西京極,"4,643",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都
2007,Ｊ２,第１８節第１日,05/26(土),13:03,草津,1-0,水戸,熊谷陸,"3,401",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ（録）
2007,Ｊ２,第１８節第１日,05/26(土),14:04,徳島,0-1,東京Ｖ,鳴門大塚,"5,174",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ徳島
2007,Ｊ２,第１８節第１日,05/26(土),14:04,愛媛,0-2,鳥栖,愛媛陸,"3,069",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ松山
2007,Ｊ２,第１８節第２日,05/27(日),13:03,福岡,1-2,札幌,博多球,"7,445",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１８節第２日,05/27(日),13:34,仙台,2-0,山形,ユアスタ,"18,156",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ミヤギテレビ
2007,Ｊ２,第１８節第２日,05/27(日),16:03,Ｃ大阪,1-4,湘南,長居２,"4,693",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１９節第１日,06/02(土),13:03,東京Ｖ,0-1,愛媛,味スタ,"4,885",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１９節第１日,06/02(土),13:04,山形,1-1,草津,ＮＤスタ,"4,733",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１９節第１日,06/02(土),14:03,札幌,2-0,京都,札幌厚別,"8,370",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ札幌
2007,Ｊ２,第１９節第１日,06/02(土),16:03,福岡,2-1,徳島,博多球,"6,210",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１９節第１日,06/02(土),16:04,仙台,2-1,湘南,ユアスタ,"12,734",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１９節第１日,06/02(土),19:04,水戸,0-1,鳥栖,笠松,"1,547",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２０節第１日,06/09(土),13:03,東京Ｖ,2-1,仙台,味スタ,"10,190",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2007,Ｊ２,第２０節第１日,06/09(土),16:04,京都,3-0,山形,西京極,"5,672",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ京都／ＫＢＳ京都（録）
2007,Ｊ２,第２０節第２日,06/10(日),13:03,湘南,2-0,水戸,平塚,"3,417",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２０節第２日,06/10(日),13:03,鳥栖,0-1,札幌,鳥栖,"9,617",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ佐賀
2007,Ｊ２,第２０節第２日,06/10(日),16:03,Ｃ大阪,2-0,福岡,長居２,"4,364",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２０節第２日,06/10(日),19:04,徳島,0-0,草津,鳴門大塚,"3,145",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２１節第１日,06/13(水),19:03,鳥栖,2-0,京都,鳥栖,"4,473",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２１節第１日,06/13(水),19:04,仙台,1-0,福岡,ユアスタ,"11,301",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２１節第１日,06/13(水),19:04,山形,1-2,水戸,ＮＤスタ,"2,893",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２１節第１日,06/13(水),19:04,草津,0-0,東京Ｖ,群馬陸,"5,142",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／群馬テレビ
2007,Ｊ２,第２１節第１日,06/13(水),19:04,徳島,0-4,Ｃ大阪,鳴門大塚,"2,554",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２１節第１日,06/13(水),19:04,愛媛,2-1,札幌,愛媛陸,"2,079",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２２節第１日,06/16(土),13:04,京都,5-1,仙台,福井,"3,692",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都（録）
2007,Ｊ２,第２２節第１日,06/16(土),14:03,札幌,1-1,徳島,札幌厚別,"8,103",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／札幌テレビ
2007,Ｊ２,第２２節第２日,06/17(日),13:03,湘南,4-1,鳥栖,平塚,"3,935",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２２節第２日,06/17(日),13:04,福岡,2-0,草津,博多球,"7,711",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２２節第２日,06/17(日),14:04,水戸,3-0,愛媛,水戸,"2,298",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊
2007,Ｊ２,第２２節第２日,06/17(日),16:03,Ｃ大阪,1-0,山形,長居,"14,623",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２３節第１日,06/23(土),13:04,仙台,3-0,愛媛,ユアスタ,"12,116",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／仙台放送
2007,Ｊ２,第２３節第１日,06/23(土),14:04,山形,1-2,福岡,ＮＤスタ,"3,537",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／山形テレビ
2007,Ｊ２,第２３節第１日,06/23(土),16:04,徳島,0-2,湘南,鳴門大塚,"2,591",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２３節第２日,06/24(日),13:03,東京Ｖ,0-1,札幌,味スタ,"12,903",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2007,Ｊ２,第２３節第２日,06/24(日),18:04,京都,2-1,水戸,西京極,"2,841",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都
2007,Ｊ２,第２３節第２日,06/24(日),19:03,草津,0-2,Ｃ大阪,群馬陸,"3,665",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ
2007,Ｊ２,第２４節第１日,06/27(水),19:03,湘南,2-4,京都,平塚,"7,968",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２４節第１日,06/27(水),19:03,Ｃ大阪,0-2,東京Ｖ,長居,"6,715",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２４節第１日,06/27(水),19:03,鳥栖,2-1,山形,鳥栖,"3,630",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２４節第１日,06/27(水),19:04,札幌,2-2,草津,札幌ド,"13,458",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２４節第１日,06/27(水),19:04,水戸,1-3,仙台,笠松,"2,099",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２４節第１日,06/27(水),19:04,愛媛,0-0,福岡,愛媛陸,"2,107",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２５節第１日,06/30(土),13:03,福岡,3-0,水戸,博多球,"8,118",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２５節第１日,06/30(土),19:04,山形,1-0,湘南,ＮＤスタ,"3,839",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２５節第２日,07/01(日),13:03,東京Ｖ,3-1,鳥栖,味スタ,"8,779",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2007,Ｊ２,第２５節第２日,07/01(日),13:04,仙台,1-0,Ｃ大阪,ユアスタ,"15,450",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／東北放送
2007,Ｊ２,第２５節第２日,07/01(日),19:03,草津,0-2,愛媛,群馬陸,"3,759",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ
2007,Ｊ２,第２５節第２日,07/01(日),19:04,徳島,0-4,京都,鳴門大塚,"3,022",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２６節第１日,07/06(金),19:04,愛媛,0-1,徳島,愛媛陸,"2,633",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレビ愛媛（深録）
2007,Ｊ２,第２６節第２日,07/07(土),14:03,札幌,1-1,山形,札幌厚別,"8,378",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２６節第２日,07/07(土),18:04,水戸,0-1,東京Ｖ,ひたちな,"5,561",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２６節第２日,07/07(土),19:03,湘南,0-2,福岡,平塚,"5,717",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２６節第２日,07/07(土),19:03,鳥栖,2-0,草津,鳥栖,"5,623",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２６節第２日,07/07(土),19:04,京都,1-1,Ｃ大阪,西京極,"10,934",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都
2007,Ｊ２,第２７節第１日,07/11(水),19:03,札幌,2-1,福岡,札幌厚別,"6,220",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２７節第１日,07/11(水),19:03,Ｃ大阪,3-1,徳島,長居２,"3,244",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２７節第１日,07/11(水),19:03,鳥栖,0-1,愛媛,鳥栖,"3,731",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２７節第１日,07/11(水),19:04,仙台,1-4,東京Ｖ,ユアスタ,"12,015",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２７節第１日,07/11(水),19:04,山形,1-2,京都,ＮＤスタ,"1,944",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第２７節第１日,07/11(水),19:04,水戸,0-2,湘南,笠松,"1,076",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第２８節第１日,07/14(土),19:03,草津,0-1,湘南,群馬陸,"2,061",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／群馬テレビ
